ACCESSION: JP000360
RECORD_TITLE: 3,4-EPOXY MENTHANE; EI-MS
DATE: 2008.10.21
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 3,4-EPOXY MENTHANE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C10H18O
CH$EXACT_MASS: 154.13577
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: HITACHI RMU-6D
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 82
PK$PEAK: m/z int. rel.int.
  15 0.5 5
  17 0.7 7
  18 5 50
  26 0.05 1
  27 8 80
  28 19 190
  39 25 250
  40 0.5 5
  41 73 730
  42 12 120
  43 99.99 999
  44 0.5 5
  45 2 20
  51 2.5 25
  52 1 10
  53 1.5 15
  54 4.5 45
  55 88 880
  56 65 650
  57 1.45 15
  58 1.5 15
  59 2 20
  65 3 30
  66 0.2 2
  67 21.7 217
  68 22 220
  69 82 820
  70 2.5 25
  71 73 730
  72 4.5 45
  73 1 10
  77 0.5 5
  78 0.5 5
  79 8 80
  80 1.5 15
  81 2.65 27
  82 6 60
  83 32 320
  84 11 110
  85 0.5 5
  86 13 130
  87 2 20
  91 3 30
  92 0.03 0
  93 8 80
  94 2 20
  95 23.5 235
  96 0.3 3
  97 14 140
  98 7 70
  99 42.5 425
  100 0.4 4
  107 1 10
  108 0.5 5
  109 6 60
  110 0.5 5
  111 75 750
  112 12 120
  113 5 50
  114 0.05 1
  115 2 20
  119 3 30
  121 4 40
  123 0.1 1
  124 0.5 5
  125 32.5 325
  126 5 50
  127 0.3 3
  128 13 130
  129 0.8 8
  134 0.5 5
  135 0.05 1
  136 0.5 5
  137 0.5 5
  138 0.5 5
  139 7 70
  140 7 70
  141 0.5 5
  142 0.5 5
  153 0.1 1
  154 45 450
  155 6 60
//
