ACCESSION: JP000767
RECORD_TITLE: ETHYL 2-AMINO-3-CYANO-4,8-BIS(METHOXYMETHYL)AZULENE-1-CARBOXYLATE; EI-MS
DATE: 2008.10.21
AUTHORS: ITO S, DEPT. OF CHEM., TOHOKU UNIV.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: ETHYL 2-AMINO-3-CYANO-4,8-BIS(METHOXYMETHYL)AZULENE-1-CARBOXYLATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C18H20N2O4
CH$EXACT_MASS: 328.14231
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: Unknown
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 25 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 71
PK$PEAK: m/z int. rel.int.
  45 26 260
  74 11.5 115
  127 7 70
  139 0.4 4
  140 5 50
  141 4 40
  142 3 30
  151 0.7 7
  152 8.5 85
  153 13 130
  154 4.5 45
  164 0.55 6
  165 3.5 35
  166 14 140
  167 8 80
  168 0.9 9
  169 7.5 75
  170 3 30
  179 23 230
  180 1.4 14
  181 15 150
  182 12 120
  183 6.5 65
  191 0.5 5
  192 11 110
  193 13 130
  194 9 90
  195 3.1 31
  196 16 160
  197 6 60
  198 3.5 35
  205 0.4 4
  207 14.5 145
  208 28 280
  209 23 230
  210 0.6 6
  211 14 140
  212 10 100
  219 6 60
  220 0.45 5
  221 20 200
  222 33.5 335
  223 18 180
  224 1.9 19
  225 21.5 215
  226 4 40
  235 25 250
  236 2.3 23
  237 43 430
  238 16 160
  239 22.5 225
  240 0.5 5
  250 69 690
  251 29 290
  252 94 940
  253 2.5 25
  254 4.5 45
  255 15.5 155
  256 4 40
  267 99.99 999
  268 14 140
  269 6.5 65
  281 3.5 35
  282 4.75 48
  283 24 240
  284 7 70
  296 10 100
  297 0.85 9
  298 5.5 55
  328 42 420
  329 17 170
//
