ACCESSION: JP002692
RECORD_TITLE: 1-OCTADECENYL-2,3-DI-TRIMETHYLSILYL GLYCEROL; EI-MS
DATE: 2008.10.21
AUTHORS: HAYASHI A, DEPT. OF CHEMISTRY, FAC. OF SCI. AND TECHNOLOGY, KINKI UNIV.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 1-OCTADECENYL-2,3-DI-TRIMETHYLSILYL GLYCEROL
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C27H58O3Si2
CH$EXACT_MASS: 486.39245
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: SHIMADZU LKB-9000B
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 46
PK$PEAK: m/z int. rel.int.
  57 1.4 14
  69 4.6 46
  73 10.4 104
  82 2.1 21
  83 7.3 73
  96 2.3 23
  97 8.2 82
  98 0.1 1
  101 2.9 29
  105 0.13 1
  109 2.9 29
  110 1.6 16
  111 0.53 5
  118 2 20
  119 1.7 17
  131 11.8 118
  132 2.9 29
  133 9.5 95
  134 0.12 1
  135 1.8 18
  139 0.12 1
  148 4.5 45
  149 4.8 48
  163 1.2 12
  175 2 20
  177 3 30
  189 0.12 1
  204 7.8 78
  205 99.99 999
  206 19.3 193
  207 0.85 9
  208 1.2 12
  219 1.8 18
  221 1.3 13
  248 0.14 1
  275 1 10
  293 5.7 57
  294 1.3 13
  382 0.18 2
  383 1.4 14
  396 1.4 14
  471 3.5 35
  472 0.13 1
  486 6.6 66
  487 2.8 28
  488 1 10
//
