ACCESSION: JP003310
RECORD_TITLE: DI(2-ETHYL HEXYL)ISOPHTHALATE; EI-MS
DATE: 2008.10.21
AUTHORS: KOGA M, UNIV. OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: DI(2-ETHYL HEXYL)ISOPHTHALATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C24H38O4
CH$EXACT_MASS: 390.27701
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: JEOL JMS-01-SG-2
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 75 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 44
PK$PEAK: m/z int. rel.int.
  50 1.1 11
  53 1.6 16
  54 18.8 188
  55 13.1 131
  56 35.2 352
  57 1.6 16
  65 6 60
  67 0.2 2
  68 1.9 19
  69 9.4 94
  70 84.5 845
  71 2.35 24
  72 1.1 11
  75 1 10
  76 7.5 75
  77 0.17 2
  79 1.1 11
  81 1 10
  82 4.5 45
  83 2.13 21
  84 12.8 128
  85 1.1 11
  93 1.4 14
  97 0.17 2
  104 10.5 105
  105 2.3 23
  111 1 10
  112 99.99 999
  113 27.1 271
  114 2 20
  121 9 90
  122 0.23 2
  129 1.1 11
  132 1.6 16
  149 41.7 417
  150 0.47 5
  167 47.2 472
  168 4.4 44
  180 1.3 13
  261 4.81 48
  262 9 90
  263 1.3 13
  279 25.9 259
  280 4.2 42
//
