ACCESSION: JP004490
RECORD_TITLE: 8-METHYL-4-OXO-4H-PYRIDO(1,2-A)PYRIMIDINE-3-CARBOXYLIC ACID ETHYL ESTER; EI-MS
DATE: 2008.10.21
AUTHORS: SASAKI S, TOYOHASHI UNIV. OF TECH.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 8-METHYL-4-OXO-4H-PYRIDO(1,2-A)PYRIMIDINE-3-CARBOXYLIC ACID ETHYL ESTER
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C12H12N2O3
CH$EXACT_MASS: 232.08479
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: MS-902
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 49
PK$PEAK: m/z int. rel.int.
  39 10 100
  41 3 30
  43 0.9 9
  44 0.12 1
  50 1.5 15
  51 4.2 42
  52 4.2 42
  53 1.18 12
  54 0.9 9
  63 2.4 24
  64 5.5 55
  65 2.73 27
  66 6.1 61
  76 1.8 18
  77 7.9 79
  78 0.39 4
  79.5 1.2 12
  90 0.9 9
  91 5.8 58
  92 7.73 77
  93 14.5 145
  94 0.9 9
  103 0.9 9
  104 0.61 6
  105 1.1 11
  118 1.5 15
  119 28.8 288
  120 0.21 2
  131 4.8 48
  132 36.4 364
  133 3.3 33
  149 0.09 1
  158 1.8 18
  159 24.2 242
  160 90.9 909
  161 0.97 10
  175 0.6 6
  176 13.3 133
  177 1.2 12
  186 0.15 2
  187 99.99 999
  188 13.6 136
  189 1.5 15
  204 0.58 6
  205 0.3 3
  231 0.3 3
  232 90.9 909
  233 1.27 13
  234 0.9 9
//
