ACCESSION: JP006278
RECORD_TITLE: ESTRONE TRIMETHYL ETHER; EI-MS
DATE: 2008.10.21
AUTHORS: MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ)
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: ESTRONE TRIMETHYL ETHER
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C21H30O2Si
CH$EXACT_MASS: 342.20151
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: HITACHI M-80
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 20 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 77
PK$PEAK: m/z int. rel.int.
  41 1.31 13
  43 1.26 13
  55 1.21 12
  57 0.98 10
  67 1.42 14
  73 9.82 98
  74 1.38 14
  79 1.02 10
  81 2.11 21
  93 1.12 11
  95 1.09 11
  97 2.45 25
  107 1.7 17
  109 1.4 14
  123 1.07 11
  150 1.3 13
  163 2.41 24
  177 3.84 38
  178 1.51 15
  179 2.21 22
  180 1.94 19
  189 1.03 10
  191 0.95 10
  192 7.66 77
  193 2.45 25
  194 1.05 11
  201 1.11 11
  202 0.61 6
  203 3.34 33
  204 1.85 19
  205 4.53 45
  206 1.23 12
  207 1.39 14
  215 1.35 14
  216 1.33 13
  217 7.25 73
  218 30.49 305
  219 9.54 95
  220 2.64 26
  221 1.31 13
  229 2.72 27
  230 1.77 18
  231 5.75 58
  232 5.17 52
  233 1.81 18
  242 3.26 33
  243 2.32 23
  244 14.17 142
  245 5.35 54
  246 1.88 19
  257 29.88 299
  258 9.72 97
  259 2.4 24
  260 0.75 8
  269 0.78 8
  270 0.8 8
  271 1.81 18
  272 1.06 11
  282 0.73 7
  283 1.26 13
  284 0.95 10
  285 4.1 41
  286 3.97 40
  287 0.9 9
  298 1.12 11
  299 1.35 14
  313 1.2 12
  314 3.13 31
  315 1 10
  327 8.79 88
  328 2.97 30
  340 0.97 10
  341 2.77 28
  342 99.99 999
  343 29.85 299
  344 8.34 83
  345 1.51 15
//
