ACCESSION: JP007529
RECORD_TITLE: 2-SEC-BUTYLPHENYL N-TRIMETHYLSILYL-N-METHYLCARBAMATE; EI-MS
DATE: 2008.10.21
AUTHORS: KOGA M, UNIV. OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 2-SEC-BUTYLPHENYL N-TRIMETHYLSILYL-N-METHYLCARBAMATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C15H25NO2Si
CH$EXACT_MASS: 279.16546
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: JEOL JMS-01-SG
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 61
PK$PEAK: m/z int. rel.int.
  37 3.3 33
  40 10 100
  42 11.6 116
  43 0.25 3
  44 40.8 408
  47 3.3 33
  51 3.3 33
  55 0.91 9
  56 11.6 116
  57 24.1 241
  58 2.5 25
  59 1.75 18
  61 2.5 25
  63 2.5 25
  65 7.5 75
  72 0.75 8
  73 52.5 525
  74 45.8 458
  75 28.3 283
  76 0.25 3
  77 8.3 83
  78 6.6 66
  81 5 50
  82 1.33 13
  86 3.3 33
  88 2.5 25
  89 32.5 325
  91 2.08 21
  92 3.3 33
  93 3.3 33
  103 9.1 91
  105 0.33 3
  107 7.5 75
  115 5 50
  117 3.3 33
  121 4.83 48
  122 5.8 58
  130 79.1 791
  131 17.5 175
  132 0.5 5
  133 2.5 25
  135 8.3 83
  147 2.5 25
  150 1.41 14
  151 6.6 66
  161 3.3 33
  163 14.1 141
  165 0.25 3
  177 5.8 58
  179 4.1 41
  191 4.1 41
  193 99.99 999
  194 30.8 308
  195 7.5 75
  205 4.1 41
  208 0.41 4
  221 2.5 25
  222 75.8 758
  223 13.3 133
  224 0.33 3
  264 6.6 66
//
