ACCESSION: JP007694
RECORD_TITLE: DODECYL BROMIDE; EI-MS
DATE: 2008.10.21
AUTHORS: KYOTO INSTITUTE OF TECHNOLOGY
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: DODECYL BROMIDE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C12H25Br
CH$EXACT_MASS: 248.11396
CH$SMILES: N/A
CH$IUPAC: N/A
CH$LINK: CAS <a href="http://webbook.nist.gov/cgi/cbook.cgi?ID=143-15-7" target="_blank">143-15-7</a>
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: SHIMADZU QP-1000
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 46
PK$PEAK: m/z int. rel.int.
  40 3.4 34
  41 76.9 769
  42 17.9 179
  43 99.99 999
  44 3.6 36
  53 3.8 38
  54 3.4 34
  55 5.18 52
  56 14.6 146
  57 68.3 683
  58 3 30
  67 0.29 3
  68 1.7 17
  69 24.3 243
  70 6.5 65
  71 2.63 26
  72 1.4 14
  81 0.8 8
  82 1.1 11
  83 0.89 9
  84 2.4 24
  85 12 120
  86 0.8 8
  97 0.33 3
  98 0.8 8
  99 2.5 25
  107 1.2 12
  109 0.11 1
  111 0.7 7
  112 0.3 3
  113 1.2 12
  121 0.05 1
  123 0.5 5
  127 0.5 5
  134 0.4 4
  135 2.54 25
  136 3.7 37
  137 22.5 225
  138 1 10
  149 0.35 4
  150 0.7 7
  151 3.8 38
  152 0.2 2
  163 0.04 0
  164 0.1 1
  165 0.3 3
//
