ACCESSION: JP010894
RECORD_TITLE: NONYL OCTANOATE; EI-MS
DATE: 2008.10.21
AUTHORS: SODA AROMATIC CO., LTD.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: NONYL OCTANOATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C17H34O2
CH$EXACT_MASS: 270.25588
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: HITACHI M-80B
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 57
PK$PEAK: m/z int. rel.int.
  26 1 10
  27 18.3 183
  29 36.5 365
  30 1.1 11
  31 1 10
  39 8.4 84
  41 74.3 743
  42 25.5 255
  43 99.99 999
  44 2.1 21
  45 1.8 18
  53 2.9 29
  54 5.2 52
  55 64.9 649
  56 48.2 482
  57 91 910
  58 3.6 36
  59 1.6 16
  60 11.8 118
  61 24.4 244
  67 6.6 66
  68 8.3 83
  69 33.5 335
  70 39.4 394
  71 28.4 284
  72 1.5 15
  73 14.7 147
  74 1.2 12
  81 2.5 25
  82 15.8 158
  83 34.3 343
  84 35.3 353
  85 18.5 185
  86 1 10
  87 4.9 49
  89 3.6 36
  95 1 10
  96 4.4 44
  97 33.5 335
  98 29.8 298
  99 1.9 19
  101 7.5 75
  103 1.9 19
  109 2.1 21
  111 1.8 18
  115 3.3 33
  116 2.2 22
  125 1.5 15
  126 51 510
  127 42.2 422
  128 3.1 31
  129 1.1 11
  143 1.1 11
  144 7.5 75
  145 89.6 896
  146 6.8 68
  171 2.1 21
//
