ACCESSION: JP011117
RECORD_TITLE: 4-ISOPROPYLBENZYL BENZOATE; EI-MS
DATE: 2008.10.21
AUTHORS: SAWADA M, THE INST. OF SCIENTIFIC AND INDUSTRIALRESEARCH OSAKA UNIV.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 4-ISOPROPYLBENZYL BENZOATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C17H18O2
CH$EXACT_MASS: 254.13068
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: JEOL JMS-DX-300
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 60
PK$PEAK: m/z int. rel.int.
  27 4 40
  29 4.8 48
  38 1.2 12
  39 5.9 59
  40 6.8 68
  41 5.8 58
  43 4.8 48
  44 4.5 45
  45 1.8 18
  50 6.1 61
  51 14.4 144
  52 2.3 23
  53 1.6 16
  55 1.8 18
  57 1.8 18
  63 2.2 22
  65 3.7 37
  73 1 10
  74 2.4 24
  75 3 30
  76 2.7 27
  77 36.9 369
  78 5.8 58
  79 9.2 92
  88 2.3 23
  89 1.7 17
  91 14 140
  92 1.6 16
  93 1.2 12
  101 1.2 12
  102 1.1 11
  103 4.6 46
  104 2.3 23
  105 99.99 999
  106 8.6 86
  107 5.8 58
  115 5 50
  116 1.3 13
  117 13.5 135
  118 4.8 48
  119 9.9 99
  120 1.3 13
  121 3.4 34
  122 14.9 149
  123 1.1 11
  131 2.2 22
  132 3 30
  133 27.2 272
  134 3.2 32
  135 9.2 92
  136 1.6 16
  147 2 20
  148 8.3 83
  149 5.7 57
  150 4.9 49
  194 1 10
  211 2.5 25
  239 3.5 35
  254 17.6 176
  255 3.1 31
//
