ACCESSION: JP011131
RECORD_TITLE: 4-BIPHENYLYLMETHYL BENZOATE; EI-MS
DATE: 2008.10.21
AUTHORS: SAWADA M, THE INST. OF SCIENTIFIC AND INDUSTRIALRESEARCH OSAKA UNIV.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 4-BIPHENYLYLMETHYL BENZOATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C20H16O2
CH$EXACT_MASS: 288.11503
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: JEOL JMS-DX-300
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 63
PK$PEAK: m/z int. rel.int.
  27 3.6 36
  29 10.7 107
  34 1.6 16
  39 6.7 67
  40 25.6 256
  41 4.9 49
  42 1.6 16
  43 5.1 51
  44 15.1 151
  45 1.6 16
  50 6.2 62
  51 20 200
  52 2.2 22
  55 4 40
  57 3.8 38
  60 1.6 16
  63 3.8 38
  65 2.7 27
  69 3.3 33
  71 1.6 16
  73 1.3 13
  74 2.2 22
  75 2 20
  76 4 40
  77 49.3 493
  78 6.4 64
  81 1.6 16
  83 1.3 13
  89 2.4 24
  91 1.5 15
  102 2.7 27
  105 99.99 999
  106 10 100
  115 6.9 69
  122 3.3 33
  126 1.8 18
  127 3.3 33
  128 4 40
  129 1.8 18
  139 4.2 42
  141 2.4 24
  144 1.1 11
  149 2 20
  150 1.3 13
  151 5.6 56
  152 24 240
  153 10.4 104
  154 3.8 38
  155 7.1 71
  163 2.2 22
  164 2.7 27
  165 45.8 458
  166 16.4 164
  167 60 600
  168 9.8 98
  178 1.8 18
  179 1.6 16
  181 4.4 44
  182 6.7 67
  183 4.2 42
  288 52.7 527
  289 11.3 113
  290 1.6 16
//
