ACCESSION: JP011586
RECORD_TITLE: 1,1-DIMETHYLSILACYCLOPENTANE (D6-DIMETHYL); EI-MS
DATE: 2008.10.21
AUTHORS: YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 1,1-DIMETHYLSILACYCLOPENTANE (D6-DIMETHYL)
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C6H14Si
CH$EXACT_MASS: 114.08648
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: HITACHI RMU-6M
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 53
PK$PEAK: m/z int. rel.int.
  27 2.4 24
  28 2.7 27
  29 2.1 21
  30 5.6 56
  32 1.1 11
  33 3.7 37
  34 3.3 33
  39 1.4 14
  42 1.2 12
  43 2.2 22
  44 3.6 36
  45 4.1 41
  46 24.5 245
  47 3.7 37
  48 6.6 66
  49 1.7 17
  50 1.1 11
  53 2.4 24
  54 1.4 14
  55 3.3 33
  56 1.2 12
  57 1.7 17
  58 1.2 12
  60 1.3 13
  61 1.8 18
  62 8.4 84
  63 3 30
  64 61.6 616
  65 22.6 226
  66 3.7 37
  71 1 10
  72 1.8 18
  73 2.7 27
  74 22.7 227
  75 2.4 24
  76 2.1 21
  78 5 50
  79 1.3 13
  82 2.8 28
  91 5.8 58
  92 99.99 999
  93 11 110
  94 4.4 44
  98 1.2 12
  100 9.2 92
  101 1.7 17
  102 37.3 373
  103 4.3 43
  104 1.7 17
  119 1.6 16
  120 25.1 251
  121 3.1 31
  122 1.2 12
//
