ACCESSION: JP012021
RECORD_TITLE: 1-DIMETHYLSILYL-3-DIMETHYLSILYLPROPANE (D6); EI-MS
DATE: 2008.10.21
AUTHORS: YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: 1-DIMETHYLSILYL-3-DIMETHYLSILYLPROPANE (D6)
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C7H20Si2
CH$EXACT_MASS: 160.11035
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: HITACHI RMU-6M
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 70 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 95
PK$PEAK: m/z int. rel.int.
  27 1.2 12
  28 5.2 52
  29 6.6 66
  30 4.4 44
  31 12.3 123
  32 2.2 22
  33 7.6 76
  34 7.4 74
  39 2.6 26
  41 2.4 24
  42 2.4 24
  43 27.1 271
  44 9 90
  45 13.9 139
  46 19.3 193
  47 3.8 38
  48 8.2 82
  49 2.8 28
  53 2.4 24
  55 3.2 32
  56 1.2 12
  57 5.6 56
  58 14.7 147
  59 96.4 964
  60 10 100
  61 11.7 117
  62 23.9 239
  63 4.8 48
  64 8 80
  65 99.99 999
  66 8 80
  67 4.4 44
  69 2 20
  71 2.8 28
  72 34.7 347
  73 8.8 88
  74 3 30
  75 2.4 24
  76 22.9 229
  77 3.6 36
  78 37.7 377
  79 26.3 263
  80 2.8 28
  81 1.2 12
  82 1 10
  83 1.1 11
  84 1.1 11
  85 37.1 371
  86 5.4 54
  87 11.8 118
  88 37.5 375
  89 5 50
  90 2.4 24
  91 3.6 36
  93 7.4 74
  98 1.2 12
  99 5.6 56
  100 43.4 434
  101 12.4 124
  102 9.2 92
  103 2.8 28
  104 3.6 36
  105 7.4 74
  106 38.3 383
  107 11.9 119
  108 3.2 32
  109 2.2 22
  118 2 20
  119 1.6 16
  120 5.4 54
  121 3.2 32
  122 11.1 111
  123 13.6 136
  124 2.4 24
  125 1.6 16
  132 1.2 12
  134 3.2 32
  135 1 10
  136 8.6 86
  137 5.2 52
  138 1.4 14
  139 3 30
  146 2.6 26
  147 1.6 16
  148 30.7 307
  149 8.8 88
  150 4.8 48
  151 34.7 347
  152 6.6 66
  153 2.8 28
  163 1.8 18
  164 15.1 151
  165 27.1 271
  166 9.2 92
  167 2.8 28
//
